"location","ID","Date","CropName","DaysToHarvest","Yield","Emotion"
"F","F9252","2019-03-16","Sorghum",91,1125,"Happy Hungry "
"F","F9891","2019-02-01","Sorghum",106,1894,"Hungry Sad "
"F","F2485","2019-03-13","Sorghum",103,1350,"Hungry  "
"G","G9160","2019-02-03","Rice",90,1246,"Happy Hungry "
"G","G8261","2019-02-04","Sorghum",94,1325,"Sad  "
"G","G9025","2019-02-27","Rice",95,1682,"Angry  "
"G","G2272","2019-03-22","Sorghum",103,1193,"Happy Sad "
"G","G1356","2019-02-19","Sorghum",105,1343,"Sad Angry "
"G","G7033","2019-02-23","Sorghum",102,1377,"Angry Sad "
"G","G3682","2019-01-09","Maize",96,2035,"Angry Happy "
"G","G2458","2019-02-10","Maize",104,1182,"Angry Hungry "
"G","G7397","2019-02-25","Rice",101,1456,"Happy Hungry "
"G","G9623","2019-01-16","Sorghum",110,1753,"Hungry Happy "
"G","G2548","2019-02-23","Sorghum",104,1257,"Happy Hungry "
"G","G4786","2019-01-30","Sorghum",97,1358,"Angry Sad "
"H","H9905","2019-01-06","Maize",91,980,"Happy Sad "
"H","H2919","2019-04-03","Rice",96,1637,"Sad Angry "
"H","H6058","2019-02-03","Maize",101,1617,"Happy Angry "
"H","H5621","2019-03-31","Sorghum",97,1523,"Sad  "
"H","H9299","2019-03-27","Rice",97,1328,"Sad Hungry "
"H","H9489","2019-01-26","Sorghum",102,1296,"Angry Hungry "
"H","H3396","2019-01-14","Rice",98,1361,"Happy Sad "
"H","H4838","2019-03-01","Rice",107,1353,"Hungry Happy "
"H","H3009","2019-02-13","Sorghum",106,1177,"Angry Hungry "
"H","H1613","2019-03-12","Rice",106,1601,"Hungry Angry "
"H","H9897","2019-01-16","Rice",95,1088,"Angry Sad "
"H","H1324","2019-03-02","Sorghum",97,1422,"Hungry Angry "
"I","I8462","2019-04-01","Rice",92,1369,"Happy  "
"I","I9364","2019-04-05","Rice",106,1131,"Happy  "
"I","I5690","2019-02-12","Maize",103,1187,"Happy  "
"I","I2109","2019-02-06","Rice",96,1460,"Happy Sad "
"I","I7666","2019-03-20","Maize",102,1549,"Hungry Angry "
"I","I8009","2019-01-08","Rice",105,1349,"Happy Sad "
"I","I1621","2019-01-28","Rice",113,1254,"Sad Hungry "
"I","I2301","2019-02-17","Sorghum",98,1505,"Happy  "
"I","I5707","2019-03-31","Rice",99,1487,"Angry  "
"I","I4444","2019-02-23","Sorghum",95,1224,"Angry Happy "
"I","I7255","2019-01-15","Maize",92,2005,"Hungry Angry "
"I","I9632","2019-01-18","Rice",97,1300,"Hungry  "
"J","J8574","2019-02-15","Maize",87,1409,"Angry Sad "
"J","J4448","2019-04-05","Sorghum",97,1482,"Sad Happy "
"J","J9666","2019-03-20","Rice",98,1756,"Hungry  "
"J","J7743","2019-02-12","Maize",101,1518,"Happy Angry "
"J","J9589","2019-02-23","Sorghum",105,1339,"Hungry  "
"J","J2654","2019-03-22","Rice",105,1451,"Happy Sad "
"J","J2236","2019-04-02","Rice",104,1786,"Angry Happy "
"J","J5956","2019-02-18","Maize",104,1761,"Hungry  "
"J","J3925","2019-02-26","Sorghum",99,1234,"Happy Angry "
"J","J4528","2019-02-20","Maize",96,1225,"Happy Sad "
"J","J5456","2019-03-09","Rice",101,1352,"Happy Angry "
"J","J6604","2019-03-04","Sorghum",105,1370,"Sad  "
"K","K7491","2019-04-05","Maize",93,1431,"Hungry Happy "
"K","K8851","2019-01-06","Rice",94,1404,"Happy Angry "
"K","K5178","2019-02-16","Maize",95,1634,"Happy Angry "
"K","K7901","2019-02-28","Maize",89,1549,"Hungry Angry "
"K","K3679","2019-03-08","Maize",96,1774,"Hungry  "
"K","K8011","2019-01-07","Maize",100,1390,"Hungry  "
"K","K7539","2019-01-26","Maize",92,1374,"Sad Happy "
"K","K7853","2019-02-17","Rice",92,1416,"Happy Hungry "
"K","K4685","2019-03-12","Rice",99,1605,"Hungry Angry "
"K","K8394","2019-01-10","Sorghum",98,1696,"Sad Angry "
"K","K3048","2019-01-28","Sorghum",111,1302,"Sad Hungry "
"K","K3840","2019-03-11","Rice",103,1642,"Angry Sad "
"L","L3752","2019-02-19","Maize",98,1167,"Sad Angry "
"L","L1507","2019-01-11","Maize",98,1282,"Hungry Angry "
"L","L2148","2019-02-21","Rice",97,1236,"Sad Angry "
"L","L9000","2019-04-10","Rice",110,1170,"Hungry  "
"L","L7321","2019-04-09","Sorghum",108,1337,"Hungry Angry "
"L","L3026","2019-03-09","Sorghum",93,1328,"Happy Sad "
"L","L4686","2019-02-19","Maize",97,1317,"Happy  "
"L","L6840","2019-03-02","Maize",101,1060,"Happy Angry "
"L","L9566","2019-03-08","Sorghum",93,1421,"Hungry Happy "
"L","L9407","2019-01-11","Sorghum",103,1359,"Angry Sad "
"L","L5828","2019-03-29","Sorghum",102,1461,"Sad Hungry "
"L","L6921","2019-01-13","Maize",100,1222,"Hungry Happy "
"M","M7230","2019-01-05","Sorghum",94,1389,"Sad Hungry "
"M","M3874","2019-03-10","Sorghum",94,1666,"Sad  "
"M","M8822","2019-03-12","Sorghum",100,1063,"Hungry  "
"M","M7802","2019-03-04","Rice",94,1725,"Angry Happy "
"M","M2419","2019-01-18","Sorghum",97,1829,"Angry Happy "
"M","M5351","2019-01-16","Maize",104,1335,"Hungry Happy "
"M","M5826","2019-04-09","Rice",93,1881,"Sad Hungry "
"M","M1661","2019-01-26","Maize",105,985,"Angry  "
"M","M4939","2019-01-19","Rice",100,1487,"Sad Angry "
"M","M5330","2019-01-18","Sorghum",101,1426,"Happy Angry "
"M","M2815","2019-04-11","Maize",100,1595,"Hungry Sad "
"M","M8728","2019-01-03","Maize",96,1876,"Angry Happy "
"N","N2453","2019-03-18","Sorghum",96,1759,"Angry Happy "
"N","N8541","2019-03-27","Maize",96,1055,"Hungry  "
"N","N7915","2019-01-18","Maize",102,1943,"Hungry Angry "
"N","N5507","2019-03-12","Sorghum",100,1520,"Happy Angry "
"N","N2824","2019-04-08","Sorghum",96,1409,"Hungry Happy "
"N","N1951","2019-01-08","Sorghum",108,1968,"Happy  "
"N","N6930","2019-02-21","Maize",93,1561,"Angry  "
"N","N7339","2019-01-23","Rice",109,1082,"Angry  "
"N","N1943","2019-03-25","Maize",104,1331,"Angry  "
"N","N5497","2019-01-02","Maize",92,1834,"Angry Hungry "
"N","N9899","2019-03-16","Maize",92,1936,"Sad Hungry "
"N","N9831","2019-04-03","Rice",100,1502,"Happy Angry "
"O","O1320","2019-01-28","Rice",109,1823,"Happy Sad "
"O","O7288","2019-03-03","Rice",97,1937,"Happy Angry "
"O","O5504","2019-03-04","Rice",111,1526,"Hungry  "
"O","O2026","2019-02-27","Sorghum",102,1622,"Happy  "
"O","O8949","2019-01-09","Rice",101,1331,"Hungry Happy "
"O","O6285","2019-03-21","Rice",106,1714,"Angry Happy "
"O","O8879","2019-03-05","Maize",99,1750,"Hungry Angry "
"O","O5665","2019-02-27","Sorghum",99,1221,"Happy Sad "
"O","O8344","2019-03-12","Rice",97,1296,"Happy Angry "
"O","O1456","2019-03-12","Maize",98,1047,"Sad Happy "
"O","O1943","2019-01-09","Maize",98,2172,"Happy Sad "
"O","O6578","2019-01-12","Rice",103,1422,"Sad  "
"P","P9701","2019-03-16","Maize",104,1418,"Sad  "
"P","P8267","2019-02-28","Sorghum",102,1203,"Angry Sad "
"P","P3657","2019-03-26","Rice",100,2162,"Angry  "
"P","P9621","2019-02-04","Sorghum",101,1281,"Happy Sad "
"P","P2578","2019-02-12","Maize",101,1608,"Hungry Angry "
"P","P1878","2019-03-21","Rice",98,1700,"Angry Happy "
"P","P3212","2019-03-02","Rice",104,1320,"Sad Angry "
"P","P8898","2019-04-07","Rice",102,1092,"Angry Hungry "
"P","P4262","2019-04-05","Maize",105,1312,"Happy Hungry "
"P","P3639","2019-04-02","Sorghum",90,1083,"Angry  "
"P","P3943","2019-01-31","Maize",104,1826,"Sad Angry "
"P","P8239","2019-03-26","Sorghum",98,1084,"Happy Sad "
"Q","Q3238","2019-03-26","Maize",98,1866,"Hungry Sad "
"Q","Q1619","2019-02-23","Rice",97,1437,"Hungry Sad "
"Q","Q5101","2019-01-21","Rice",98,1672,"Hungry  "
"Q","Q5810","2019-01-06","Maize",101,1502,"Happy Sad "
"Q","Q5995","2019-03-17","Rice",92,1895,"Happy  "
"Q","Q4011","2019-01-14","Rice",104,1241,"Happy  "
"Q","Q7514","2019-03-02","Sorghum",93,1233,"Sad Happy "
"Q","Q6122","2019-02-20","Maize",105,1169,"Happy Angry "
"Q","Q7471","2019-02-04","Sorghum",97,1384,"Sad Happy "
"Q","Q9712","2019-02-20","Rice",102,1771,"Angry Sad "
"Q","Q1760","2019-03-12","Sorghum",94,1630,"Angry Happy "
"Q","Q1498","2019-02-22","Sorghum",99,1714,"Happy Angry "
"R","R9834","2019-02-16","Sorghum",100,1665,"Hungry Happy "
"R","R6937","2019-03-14","Sorghum",106,1134,"Sad Hungry "
"R","R2904","2019-03-03","Maize",96,1403,"Hungry Angry "
"R","R3239","2019-03-04","Maize",92,1789,"Sad Hungry "
"R","R7347","2019-04-07","Maize",101,1550,"Hungry  "
"R","R7955","2019-02-14","Sorghum",101,1342,"Sad Happy "
"R","R2373","2019-02-24","Sorghum",101,1335,"Happy Sad "
"R","R9031","2019-04-09","Rice",99,1524,"Sad Hungry "
"R","R6038","2019-01-31","Maize",102,1383,"Hungry Happy "
"R","R5278","2019-03-20","Rice",105,1586,"Happy Sad "
"R","R9885","2019-03-24","Maize",99,1244,"Hungry Sad "
"R","R7963","2019-01-07","Maize",109,1251,"Hungry Happy "
"S","S5255","2019-03-12","Rice",102,1096,"Hungry Angry "
"S","S6725","2019-01-15","Sorghum",92,1431,"Hungry Sad "
"S","S7620","2019-03-17","Rice",95,2036,"Sad  "
"S","S3470","2019-01-09","Maize",100,1433,"Sad  "
"S","S8578","2019-03-11","Maize",96,1626,"Hungry Angry "
"S","S1931","2019-04-05","Rice",102,1734,"Angry Sad "
"S","S4533","2019-04-06","Rice",94,1877,"Happy  "
"S","S1882","2019-04-07","Sorghum",95,1686,"Angry Happy "
"S","S5270","2019-03-14","Rice",96,1624,"Sad Hungry "
"S","S3357","2019-01-15","Rice",99,1529,"Angry Happy "
"S","S9532","2019-04-07","Rice",102,1530,"Happy Hungry "
"S","S2607","2019-01-06","Sorghum",100,1110,"Hungry  "
"T","T5390","2019-03-18","Rice",104,1409,"Happy  "
"T","T5112","2019-01-01","Rice",102,1588,"Angry Happy "
"T","T2162","2019-01-15","Sorghum",102,1291,"Hungry  "
"T","T3709","2019-03-01","Rice",88,1392,"Happy Sad "
"T","T2089","2019-01-04","Rice",96,1050,"Sad Angry "
"T","T1308","2019-03-07","Rice",105,1290,"Happy  "
"T","T9350","2019-02-23","Rice",103,1909,"Happy Sad "
"T","T3355","2019-02-01","Sorghum",96,1673,"Angry Happy "
"T","T1330","2019-03-04","Maize",91,1464,"Sad Happy "
"T","T6186","2019-02-17","Rice",98,1390,"Sad Happy "
"T","T6240","2019-03-19","Rice",105,1434,"Hungry Sad "
"T","T4364","2019-02-10","Sorghum",103,1550,"Angry Happy "
"U","U3221","2019-04-06","Rice",100,1685,"Happy Sad "
"U","U4045","2019-04-09","Maize",97,1273,"Happy Hungry "
"U","U2044","2019-02-23","Rice",105,1304,"Hungry Angry "
"U","U5726","2019-02-26","Rice",94,2087,"Angry Happy "
"U","U3169","2019-03-18","Sorghum",101,1394,"Angry Sad "
"U","U5406","2019-02-28","Sorghum",103,1544,"Hungry Happy "
"U","U3643","2019-03-26","Sorghum",95,1722,"Hungry Angry "
"U","U1534","2019-04-04","Sorghum",107,1489,"Hungry Angry "
"U","U2113","2019-01-10","Rice",100,1241,"Sad  "
"U","U9031","2019-04-14","Rice",98,1435,"Angry  "
"U","U6150","2019-02-08","Sorghum",90,1661,"Angry Hungry "
"U","U9171","2019-03-15","Maize",103,1480,"Happy  "
"V","V6823","2019-03-21","Sorghum",111,1494,"Angry Sad "
"V","V7426","2019-02-08","Sorghum",102,1531,"Angry Hungry "
"V","V8785","2019-02-24","Rice",99,1713,"Angry  "
"V","V5528","2019-01-21","Rice",103,1685,"Sad Angry "
"V","V2910","2019-03-12","Maize",96,1614,"Angry Sad "
"V","V7172","2019-04-10","Rice",104,1713,"Angry Happy "
"V","V7377","2019-04-14","Rice",94,1114,"Happy Angry "
"V","V5321","2019-03-25","Rice",105,1356,"Sad  "
"V","V1520","2019-01-04","Rice",98,1429,"Sad  "
"V","V9010","2019-03-24","Rice",97,1302,"Happy  "
"V","V4378","2019-03-19","Maize",102,1730,"Hungry Angry "
"V","V4538","2019-01-31","Rice",108,1646,"Angry Sad "
"W","W4929","2019-02-13","Rice",100,1378,"Happy Angry "
"W","W7485","2019-01-12","Maize",99,1404,"Happy Sad "
"W","W8486","2019-01-23","Sorghum",99,921,"Angry Hungry "
"W","W3540","2019-03-16","Sorghum",96,1819,"Happy  "
"W","W3902","2019-01-22","Maize",92,1258,"Angry  "
"W","W9361","2019-02-14","Rice",102,1674,"Sad Angry "
"W","W2860","2019-03-08","Rice",100,1553,"Happy Angry "
"W","W4705","2019-03-27","Sorghum",93,969,"Happy Angry "
"W","W5853","2019-01-05","Sorghum",88,1082,"Happy Hungry "
"W","W4981","2019-01-24","Maize",102,1659,"Sad  "
"W","W2827","2019-04-02","Rice",100,1160,"Sad Hungry "
"W","W1843","2019-01-07","Maize",106,1241,"Happy  "
"X","X5853","2019-01-25","Sorghum",101,1793,"Happy Hungry "
"X","X4522","2019-03-20","Maize",94,1484,"Happy Angry "
"X","X4518","2019-01-16","Rice",104,1608,"Sad Angry "
"X","X4088","2019-02-03","Maize",100,1935,"Happy  "
"X","X1135","2019-02-07","Sorghum",96,1732,"Angry  "
"X","X7741","2019-01-20","Rice",102,1538,"Angry Happy "
"X","X2685","2019-02-04","Sorghum",102,1393,"Hungry  "
"X","X6893","2019-02-19","Rice",99,2009,"Sad Happy "
"X","X9807","2019-02-14","Sorghum",100,1027,"Hungry Sad "
"X","X5453","2019-02-26","Maize",106,1379,"Sad  "
"X","X2418","2019-03-10","Maize",101,1238,"Happy  "
"X","X7292","2019-02-01","Rice",100,1595,"Happy Hungry "
"Y","Y7062","2019-01-01","Rice",105,1461,"Sad Happy "
"Y","Y5026","2019-03-04","Sorghum",102,1502,"Sad Hungry "
"Y","Y9025","2019-03-02","Rice",87,1851,"Sad Angry "
"Y","Y2756","2019-03-03","Rice",101,1605,"Hungry Angry "
"Y","Y2699","2019-04-06","Rice",95,1313,"Hungry Happy "
"Y","Y1051","2019-03-06","Rice",103,1279,"Sad Angry "
"Y","Y3649","2019-03-09","Maize",115,1538,"Sad Angry "
"Y","Y2604","2019-02-14","Rice",103,1603,"Happy Sad "
"Y","Y1267","2019-02-17","Rice",97,928,"Sad  "
"Y","Y5374","2019-03-18","Rice",106,1533,"Happy Hungry "
"Y","Y8892","2019-03-28","Sorghum",100,1469,"Sad  "
"Y","Y2033","2019-01-26","Rice",102,1642,"Hungry Happy "
"Z","Z9714","2019-03-23","Rice",103,1195,"Happy Angry "
"Z","Z8388","2019-01-16","Maize",96,2061,"Happy Angry "
"Z","Z8206","2019-03-24","Maize",102,1345,"Happy  "
"Z","Z8801","2019-02-19","Rice",94,1124,"Angry Happy "
"Z","Z3178","2019-03-15","Sorghum",98,1083,"Sad  "
"Z","Z8967","2019-03-02","Maize",98,1831,"Sad Hungry "
"Z","Z9012","2019-02-27","Maize",99,1597,"Happy Angry "
"Z","Z2613","2019-02-15","Rice",97,1646,"Happy  "
"Z","Z6306","2019-03-03","Sorghum",102,1432,"Happy Hungry "
"Z","Z7157","2019-04-04","Sorghum",104,1390,"Angry Hungry "
"Z","Z1833","2019-02-26","Rice",96,1825,"Angry Hungry "
"Z","Z3803","2019-04-13","Sorghum",104,1560,"Sad Happy "
